"adapt","method","typ","class","unc.min","unc.med","unc.max","ptl","n","adapt.n","unc.min.n","unc.med.n","unc.max.n"
1e-08,"SVM-rad","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,5,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06
1e-08,"SVM-lin","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,5,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07
1e-08,"SVM-pol","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,5,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07
0.2278,"SVM-rad","Total","Utopia Distance",0.198,0.294,0.331,0.681666666666667,5,0.948771345272803,0.824656393169513,1.22448979591837,1.37859225322782
0.302,"SVM-lin","Total","Utopia Distance",0.198,0.294,0.331,0.336666666666667,5,0.967948717948718,0.634615384615385,0.942307692307692,1.06089743589744
0.3199,"SVM-pol","Total","Utopia Distance",0.198,0.294,0.331,0.243333333333333,5,0.948132780082988,0.586840545346769,0.871369294605809,0.981031416716064
1,"SVM-rad","False Positive","Utopia Distance",1,1,1,0,5,1,1,1,1
1,"SVM-lin","False Positive","Utopia Distance",1,1,1,0,5,1,1,1,1
1,"SVM-pol","False Positive","Utopia Distance",1,1,1,0,5,1,1,1,1
1e-08,"SVM-rad","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,5,1,1,1,1
1e-08,"SVM-lin","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,5,1,1,1,1
1e-08,"SVM-pol","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,5,1,1,1,1
0.419,"SVM-rad","Total","Pareto Distance",0.391,0.442,0.497,0.76,10,3.65300784655623,3.40889276373147,3.85353095030514,4.33304272013949
0.4577,"SVM-lin","Total","Pareto Distance",0.391,0.442,0.497,0.349333333333333,10,2.26024691358025,1.93086419753086,2.18271604938272,2.45432098765432
0.4218,"SVM-pol","Total","Pareto Distance",0.391,0.442,0.497,0.737,10,3.16666666666667,2.93543543543544,3.31831831831832,3.73123123123123
1,"SVM-rad","False Positive","Pareto Distance",1,1,1,0,10,8.12999498240697,8.12999498240697,8.12999498240697,8.12999498240697
1,"SVM-lin","False Positive","Pareto Distance",1,1,1,0,10,4.83789149663564,4.83789149663564,4.83789149663564,4.83789149663564
1,"SVM-pol","False Positive","Pareto Distance",1,1,1,0,10,6.57685204736967,6.57685204736967,6.57685204736967,6.57685204736967
1e-08,"SVM-rad","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,10,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07
1e-08,"SVM-lin","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,10,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07
1e-08,"SVM-pol","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,10,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07
0.3186,"SVM-rad","Total","Threshold Cutoff",0.33,0.377,0.473,1,10,2.37761194029851,2.46268656716418,2.8134328358209,3.52985074626866
0.449,"SVM-lin","Total","Threshold Cutoff",0.33,0.377,0.473,0.154333333333333,10,1.93284545845889,1.42057684029273,1.62290142057684,2.03616013775291
0.3927,"SVM-pol","Total","Threshold Cutoff",0.33,0.377,0.473,0.373333333333333,10,3.13658146964856,2.63578274760383,3.0111821086262,3.77795527156549
1,"SVM-rad","False Positive","Threshold Cutoff",1,1,1,0,10,4.42129923052727,4.42129923052727,4.42129923052727,4.42129923052727
1,"SVM-lin","False Positive","Threshold Cutoff",1,1,1,0,10,3.04678148089616,3.04678148089616,3.04678148089616,3.04678148089616
1,"SVM-pol","False Positive","Threshold Cutoff",1,1,1,0,10,4.92375094542207,4.92375094542207,4.92375094542207,4.92375094542207
1e-08,"SVM-rad","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,10,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06
1e-08,"SVM-lin","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,10,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07
1e-08,"SVM-pol","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,10,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07
0.2287,"SVM-rad","Total","Utopia Distance",0.213,0.312,0.331,0.845666666666667,10,0.952519783423573,0.887130362349021,1.29945855893378,1.37859225322782
0.2216,"SVM-lin","Total","Utopia Distance",0.213,0.312,0.331,0.926333333333333,10,0.71025641025641,0.682692307692308,1,1.06089743589744
0.2754,"SVM-pol","Total","Utopia Distance",0.213,0.312,0.331,0.652666666666667,10,0.81624184943687,0.631298162418494,0.924718435091879,0.981031416716064
1,"SVM-rad","False Positive","Utopia Distance",1,1,1,0,10,1,1,1,1
1,"SVM-lin","False Positive","Utopia Distance",1,1,1,0,10,1,1,1,1
1,"SVM-pol","False Positive","Utopia Distance",1,1,1,0,10,1,1,1,1
1e-08,"SVM-rad","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,10,1,1,1,1
1e-08,"SVM-lin","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,10,1,1,1,1
1e-08,"SVM-pol","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,10,1,1,1,1
0.4304,"SVM-rad","Total","Pareto Distance",0.375,0.426,0.494,0.482333333333333,15,3.75239755884917,3.26939843068875,3.71403661726242,4.30688753269398
0.5346,"SVM-lin","Total","Pareto Distance",0.375,0.426,0.494,0,15,2.64,1.85185185185185,2.1037037037037,2.43950617283951
0.4319,"SVM-pol","Total","Pareto Distance",0.375,0.426,0.494,0.48,15,3.24249249249249,2.81531531531532,3.1981981981982,3.70870870870871
1,"SVM-rad","False Positive","Pareto Distance",1,1,1,0,15,8.12999498240697,8.12999498240697,8.12999498240697,8.12999498240697
1,"SVM-lin","False Positive","Pareto Distance",1,1,1,0,15,4.83789149663564,4.83789149663564,4.83789149663564,4.83789149663564
1,"SVM-pol","False Positive","Pareto Distance",1,1,1,0,15,6.57685204736967,6.57685204736967,6.57685204736967,6.57685204736967
1e-08,"SVM-rad","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,15,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07
1e-08,"SVM-lin","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,15,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07
1e-08,"SVM-pol","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,15,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07
0.3277,"SVM-rad","Total","Threshold Cutoff",0.325,0.357,0.463,0.955,15,2.4455223880597,2.42537313432836,2.66417910447761,3.45522388059702
0.449,"SVM-lin","Total","Threshold Cutoff",0.325,0.357,0.463,0.106333333333333,15,1.93284545845889,1.39905294877314,1.53680585449849,1.99311235471373
0.4279,"SVM-pol","Total","Threshold Cutoff",0.325,0.357,0.463,0.252333333333333,15,3.41773162939297,2.59584664536741,2.85143769968051,3.69808306709265
1,"SVM-rad","False Positive","Threshold Cutoff",1,1,1,0,15,4.42129923052727,4.42129923052727,4.42129923052727,4.42129923052727
1,"SVM-lin","False Positive","Threshold Cutoff",1,1,1,0,15,3.04678148089616,3.04678148089616,3.04678148089616,3.04678148089616
1,"SVM-pol","False Positive","Threshold Cutoff",1,1,1,0,15,4.92375094542207,4.92375094542207,4.92375094542207,4.92375094542207
1e-08,"SVM-rad","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,15,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06
1e-08,"SVM-lin","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,15,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07
1e-08,"SVM-pol","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,15,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07
0.2142,"SVM-rad","Total","Utopia Distance",0.204,0.296,0.332,0.888,15,0.892128279883382,0.849645980841316,1.23281965847564,1.38275718450646
0.2212,"SVM-lin","Total","Utopia Distance",0.204,0.296,0.332,0.81,15,0.708974358974359,0.653846153846154,0.948717948717949,1.06410256410256
0.2907,"SVM-pol","Total","Utopia Distance",0.204,0.296,0.332,0.586666666666667,15,0.86158861885003,0.604623592175459,0.877296976882039,0.983995257854179
1,"SVM-rad","False Positive","Utopia Distance",1,1,1,0,15,1,1,1,1
1,"SVM-lin","False Positive","Utopia Distance",1,1,1,0,15,1,1,1,1
1,"SVM-pol","False Positive","Utopia Distance",1,1,1,0,15,1,1,1,1
1e-08,"SVM-rad","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,15,1,1,1,1
1e-08,"SVM-lin","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,15,1,1,1,1
1e-08,"SVM-pol","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,15,1,1,1,1
0.4257,"SVM-rad","Total","Pareto Distance",0.424975,0.477,0.538025,0.971666666666667,20,3.71142109851787,3.70510026155187,4.15867480383609,4.69071490845684
0.5171,"SVM-lin","Total","Pareto Distance",0.424975,0.477,0.538025,0.189,20,2.55358024691358,2.09864197530864,2.35555555555556,2.65691358024691
0.4509,"SVM-pol","Total","Pareto Distance",0.424975,0.477,0.538025,0.741333333333333,20,3.38513513513514,3.190503003003,3.58108108108108,4.03922672672673
1,"SVM-rad","False Positive","Pareto Distance",1,1,1,0,20,8.12999498240697,8.12999498240697,8.12999498240697,8.12999498240697
1,"SVM-lin","False Positive","Pareto Distance",1,1,1,0,20,4.83789149663564,4.83789149663564,4.83789149663564,4.83789149663564
1,"SVM-pol","False Positive","Pareto Distance",1,1,1,0,20,6.57685204736967,6.57685204736967,6.57685204736967,6.57685204736967
1e-08,"SVM-rad","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,20,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07,4.6540896473684e-07
1e-08,"SVM-lin","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,20,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07,3.03512896836887e-07
1e-08,"SVM-pol","False Negative","Pareto Distance",1e-08,1e-08,1e-08,0,20,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07,6.02533935062426e-07
0.3196,"SVM-rad","Total","Threshold Cutoff",0.363,0.397,0.51,1,20,2.38507462686567,2.7089552238806,2.96268656716418,3.80597014925373
0.4437,"SVM-lin","Total","Threshold Cutoff",0.363,0.397,0.51,0.331666666666667,20,1.91003013344813,1.562634524322,1.70899698665519,2.19543693499785
0.4245,"SVM-pol","Total","Threshold Cutoff",0.363,0.397,0.51,0.348,20,3.3905750798722,2.89936102236422,3.17092651757189,4.07348242811502
1,"SVM-rad","False Positive","Threshold Cutoff",1,1,1,0,20,4.42129923052727,4.42129923052727,4.42129923052727,4.42129923052727
1,"SVM-lin","False Positive","Threshold Cutoff",1,1,1,0,20,3.04678148089616,3.04678148089616,3.04678148089616,3.04678148089616
1,"SVM-pol","False Positive","Threshold Cutoff",1,1,1,0,20,4.92375094542207,4.92375094542207,4.92375094542207,4.92375094542207
1e-08,"SVM-rad","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,20,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06,1.37953167190474e-06
1e-08,"SVM-lin","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,20,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07,8.16999395039322e-07
1e-08,"SVM-pol","False Negative","Threshold Cutoff",1e-08,1e-08,1e-08,0,20,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07,8.15024497810373e-07
0.2027,"SVM-rad","Total","Utopia Distance",0.233,0.327,0.369,0.994666666666667,20,0.844231570179092,0.970428987921699,1.36193252811329,1.53685964181591
0.2212,"SVM-lin","Total","Utopia Distance",0.233,0.327,0.369,0.985666666666667,20,0.708974358974359,0.746794871794872,1.04807692307692,1.18269230769231
0.2941,"SVM-pol","Total","Utopia Distance",0.233,0.327,0.369,0.657,20,0.871665678719621,0.690574985180794,0.969176052163604,1.09365737996443
1,"SVM-rad","False Positive","Utopia Distance",1,1,1,0,20,1,1,1,1
1,"SVM-lin","False Positive","Utopia Distance",1,1,1,0,20,1,1,1,1
1,"SVM-pol","False Positive","Utopia Distance",1,1,1,0,20,1,1,1,1
1e-08,"SVM-rad","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,20,1,1,1,1
1e-08,"SVM-lin","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,20,1,1,1,1
1e-08,"SVM-pol","False Negative","Utopia Distance",1e-08,1e-08,1e-08,0,20,1,1,1,1
