"","x","prob","var","cond"
"291",0.571428571428571,1,"x1","|x2, x3"
"301",0.591836734693878,1,"x1","|x2, x3"
"311",0.612244897959184,1,"x1","|x2, x3"
"321",0.63265306122449,1,"x1","|x2, x3"
"331",0.653061224489796,1,"x1","|x2, x3"
"341",0.673469387755102,1,"x1","|x2, x3"
"351",0.693877551020408,1,"x1","|x2, x3"
"361",0.714285714285714,1,"x1","|x2, x3"
"371",0.73469387755102,1,"x1","|x2, x3"
"381",0.755102040816326,1,"x1","|x2, x3"
"391",0.775510204081633,1,"x1","|x2, x3"
"401",0.795918367346939,1,"x1","|x2, x3"
"411",0.816326530612245,1,"x1","|x2, x3"
"421",0.836734693877551,1,"x1","|x2, x3"
"431",0.857142857142857,1,"x1","|x2, x3"
"441",0.877551020408163,1,"x1","|x2, x3"
"451",0.897959183673469,1,"x1","|x2, x3"
"461",0.918367346938775,1,"x1","|x2, x3"
"471",0.938775510204082,1,"x1","|x2, x3"
"481",0.959183673469388,1,"x1","|x2, x3"
"491",0.979591836734694,1,"x1","|x2, x3"
"501",1,1,"x1","|x2, x3"
"112",0,0.371756202687408,"x2","|x1"
"212",0.0204081632653061,0.361112396748908,"x2","|x1"
"312",0.0408163265306122,0.346084332189563,"x2","|x1"
"412",0.0612244897959184,0.318096692508169,"x2","|x1"
"53",0.0816326530612245,0.293561110008828,"x2","|x1"
"62",0.102040816326531,0.27570732326953,"x2","|x1"
"72",0.122448979591837,0.236204663618956,"x2","|x1"
"82",0.142857142857143,0.218143366687114,"x2","|x1"
"92",0.163265306122449,0.214449981965634,"x2","|x1"
"102",0.183673469387755,0.19480280749897,"x2","|x1"
"113",0.204081632653061,0.162046883388853,"x2","|x1"
"122",0.224489795918367,0.136762531107275,"x2","|x1"
"132",0.244897959183673,0.117153014162761,"x2","|x1"
"142",0.26530612244898,0.107341326713473,"x2","|x1"
"152",0.285714285714286,0.0887558995082304,"x2","|x1"
"162",0.306122448979592,0.0650332278419929,"x2","|x1"
"172",0.326530612244898,0.0410827135455207,"x2","|x1"
"182",0.346938775510204,0.0283562448311032,"x2","|x1"
"192",0.36734693877551,0.016894350432855,"x2","|x1"
"202",0.387755102040816,0.00768560240584187,"x2","|x1"
"213",0.408163265306122,0.00115597767307552,"x2","|x1"
"222",0.428571428571429,1.5639518412953e-38,"x2","|x1"
"232",0.448979591836735,2.25750857485979e-165,"x2","|x1"
"242",0.469387755102041,1.51978049141138e-306,"x2","|x1"
"252",0.489795918367347,0,"x2","|x1"
"262",0.510204081632653,0,"x2","|x1"
"272",0.530612244897959,0,"x2","|x1"
"282",0.551020408163265,0,"x2","|x1"
"292",0.571428571428571,0,"x2","|x1"
"302",0.591836734693878,0,"x2","|x1"
"313",0.612244897959184,0,"x2","|x1"
"322",0.63265306122449,0,"x2","|x1"
"332",0.653061224489796,0,"x2","|x1"
"342",0.673469387755102,0,"x2","|x1"
"352",0.693877551020408,0,"x2","|x1"
"362",0.714285714285714,0,"x2","|x1"
"372",0.73469387755102,0,"x2","|x1"
"382",0.755102040816326,0,"x2","|x1"
"392",0.775510204081633,0,"x2","|x1"
"402",0.795918367346939,0,"x2","|x1"
"413",0.816326530612245,0,"x2","|x1"
"422",0.836734693877551,0,"x2","|x1"
"432",0.857142857142857,0,"x2","|x1"
"442",0.877551020408163,0,"x2","|x1"
"452",0.897959183673469,0,"x2","|x1"
"462",0.918367346938775,0,"x2","|x1"
"472",0.938775510204082,0,"x2","|x1"
"482",0.959183673469388,0,"x2","|x1"
"492",0.979591836734694,0,"x2","|x1"
"502",1,0,"x2","|x1"
"114",0,1,"x2","|x1, x3"
"214",0.0204081632653061,1,"x2","|x1, x3"
"314",0.0408163265306122,1,"x2","|x1, x3"
"414",0.0612244897959184,1,"x2","|x1, x3"
"54",0.0816326530612245,1,"x2","|x1, x3"
"63",0.102040816326531,1,"x2","|x1, x3"
"73",0.122448979591837,0.999509055581,"x2","|x1, x3"
"83",0.142857142857143,0.987513813151318,"x2","|x1, x3"
"93",0.163265306122449,0.97560864348696,"x2","|x1, x3"
"103",0.183673469387755,0.946011371642597,"x2","|x1, x3"
"115",0.204081632653061,0.9079014954739,"x2","|x1, x3"
"123",0.224489795918367,0.828803122169045,"x2","|x1, x3"
"133",0.244897959183673,0.720817179267954,"x2","|x1, x3"
"143",0.26530612244898,0.59509851817645,"x2","|x1, x3"
"153",0.285714285714286,0.500176329044769,"x2","|x1, x3"
"163",0.306122448979592,0.397562193013142,"x2","|x1, x3"
"173",0.326530612244898,0.257043379688072,"x2","|x1, x3"
"183",0.346938775510204,0.18126023032508,"x2","|x1, x3"
"193",0.36734693877551,0.0922283526196046,"x2","|x1, x3"
"203",0.387755102040816,0.0372349552558522,"x2","|x1, x3"
"215",0.408163265306122,0.00172396333446469,"x2","|x1, x3"
"223",0.428571428571429,8.9510918156296e-35,"x2","|x1, x3"
"233",0.448979591836735,2.98409786165749e-130,"x2","|x1, x3"
"243",0.469387755102041,9.35082713404217e-295,"x2","|x1, x3"
"253",0.489795918367347,0,"x2","|x1, x3"
"263",0.510204081632653,0,"x2","|x1, x3"
"273",0.530612244897959,0,"x2","|x1, x3"
"283",0.551020408163265,0,"x2","|x1, x3"
"293",0.571428571428571,0,"x2","|x1, x3"
"303",0.591836734693878,0,"x2","|x1, x3"
"315",0.612244897959184,0,"x2","|x1, x3"
"323",0.63265306122449,0,"x2","|x1, x3"
"333",0.653061224489796,0,"x2","|x1, x3"
"343",0.673469387755102,0,"x2","|x1, x3"
"353",0.693877551020408,0,"x2","|x1, x3"
"363",0.714285714285714,0,"x2","|x1, x3"
"373",0.73469387755102,0,"x2","|x1, x3"
"383",0.755102040816326,0,"x2","|x1, x3"
"393",0.775510204081633,0,"x2","|x1, x3"
"403",0.795918367346939,0,"x2","|x1, x3"
"415",0.816326530612245,0,"x2","|x1, x3"
"423",0.836734693877551,0,"x2","|x1, x3"
"433",0.857142857142857,0,"x2","|x1, x3"
"443",0.877551020408163,0,"x2","|x1, x3"
"453",0.897959183673469,0,"x2","|x1, x3"
"463",0.918367346938775,0,"x2","|x1, x3"
"473",0.938775510204082,0,"x2","|x1, x3"
"483",0.959183673469388,0,"x2","|x1, x3"
"493",0.979591836734694,0,"x2","|x1, x3"
"503",1,0,"x2","|x1, x3"
"116",0,0.371756202687408,"x2","|x1"
"216",0.0204081632653061,0.361112396748908,"x2","|x1"
"316",0.0408163265306122,0.346084332189563,"x2","|x1"
"416",0.0612244897959184,0.318096692508169,"x2","|x1"
"55",0.0816326530612245,0.293561110008828,"x2","|x1"
"64",0.102040816326531,0.27570732326953,"x2","|x1"
"74",0.122448979591837,0.236204663618956,"x2","|x1"
"84",0.142857142857143,0.218143366687114,"x2","|x1"
"94",0.163265306122449,0.214449981965634,"x2","|x1"
"104",0.183673469387755,0.19480280749897,"x2","|x1"
"117",0.204081632653061,0.162046883388853,"x2","|x1"
"124",0.224489795918367,0.136762531107275,"x2","|x1"
"134",0.244897959183673,0.117153014162761,"x2","|x1"
"144",0.26530612244898,0.107341326713473,"x2","|x1"
"154",0.285714285714286,0.0887558995082304,"x2","|x1"
"164",0.306122448979592,0.0650332278419929,"x2","|x1"
"174",0.326530612244898,0.0410827135455207,"x2","|x1"
"184",0.346938775510204,0.0283562448311032,"x2","|x1"
"194",0.36734693877551,0.016894350432855,"x2","|x1"
"204",0.387755102040816,0.00768560240584187,"x2","|x1"
"217",0.408163265306122,0.00115597767307552,"x2","|x1"
"224",0.428571428571429,1.5639518412953e-38,"x2","|x1"
"234",0.448979591836735,2.25750857485979e-165,"x2","|x1"
"244",0.469387755102041,1.51978049141138e-306,"x2","|x1"
"254",0.489795918367347,0,"x2","|x1"
"264",0.510204081632653,0,"x2","|x1"
"274",0.530612244897959,0,"x2","|x1"
"284",0.551020408163265,0,"x2","|x1"
"294",0.571428571428571,0,"x2","|x1"
"304",0.591836734693878,0,"x2","|x1"
"317",0.612244897959184,0,"x2","|x1"
"324",0.63265306122449,0,"x2","|x1"
"334",0.653061224489796,0,"x2","|x1"
"344",0.673469387755102,0,"x2","|x1"
"354",0.693877551020408,0,"x2","|x1"
"364",0.714285714285714,0,"x2","|x1"
"374",0.73469387755102,0,"x2","|x1"
"384",0.755102040816326,0,"x2","|x1"
"394",0.775510204081633,0,"x2","|x1"
"404",0.795918367346939,0,"x2","|x1"
"417",0.816326530612245,0,"x2","|x1"
"424",0.836734693877551,0,"x2","|x1"
"434",0.857142857142857,0,"x2","|x1"
"444",0.877551020408163,0,"x2","|x1"
"454",0.897959183673469,0,"x2","|x1"
"464",0.918367346938775,0,"x2","|x1"
"474",0.938775510204082,0,"x2","|x1"
"484",0.959183673469388,0,"x2","|x1"
"494",0.979591836734694,0,"x2","|x1"
"504",1,0,"x2","|x1"
"51",1,0,"x2","|x3"
"118",0,0.371756202687408,"x2","|x1"
"218",0.0204081632653061,0.361112396748908,"x2","|x1"
"318",0.0408163265306122,0.346084332189563,"x2","|x1"
"418",0.0612244897959184,0.318096692508169,"x2","|x1"
"56",0.0816326530612245,0.293561110008828,"x2","|x1"
"65",0.102040816326531,0.27570732326953,"x2","|x1"
"75",0.122448979591837,0.236204663618956,"x2","|x1"
"85",0.142857142857143,0.218143366687114,"x2","|x1"
"95",0.163265306122449,0.214449981965634,"x2","|x1"
"105",0.183673469387755,0.19480280749897,"x2","|x1"
"119",0.204081632653061,0.162046883388853,"x2","|x1"
"125",0.224489795918367,0.136762531107275,"x2","|x1"
"135",0.244897959183673,0.117153014162761,"x2","|x1"
"145",0.26530612244898,0.107341326713473,"x2","|x1"
"155",0.285714285714286,0.0887558995082304,"x2","|x1"
"165",0.306122448979592,0.0650332278419929,"x2","|x1"
"175",0.326530612244898,0.0410827135455207,"x2","|x1"
"185",0.346938775510204,0.0283562448311032,"x2","|x1"
"195",0.36734693877551,0.016894350432855,"x2","|x1"
"205",0.387755102040816,0.00768560240584187,"x2","|x1"
"219",0.408163265306122,0.00115597767307552,"x2","|x1"
"225",0.428571428571429,1.5639518412953e-38,"x2","|x1"
"235",0.448979591836735,2.25750857485979e-165,"x2","|x1"
"245",0.469387755102041,1.51978049141138e-306,"x2","|x1"
"255",0.489795918367347,0,"x2","|x1"
"265",0.510204081632653,0,"x2","|x1"
"275",0.530612244897959,0,"x2","|x1"
"285",0.551020408163265,0,"x2","|x1"
"295",0.571428571428571,0,"x2","|x1"
"305",0.591836734693878,0,"x2","|x1"
"319",0.612244897959184,0,"x2","|x1"
"325",0.63265306122449,0,"x2","|x1"
"335",0.653061224489796,0,"x2","|x1"
"345",0.673469387755102,0,"x2","|x1"
"355",0.693877551020408,0,"x2","|x1"
"365",0.714285714285714,0,"x2","|x1"
"375",0.73469387755102,0,"x2","|x1"
"385",0.755102040816326,0,"x2","|x1"
"395",0.775510204081633,0,"x2","|x1"
"405",0.795918367346939,0,"x2","|x1"
"419",0.816326530612245,0,"x2","|x1"
"425",0.836734693877551,0,"x2","|x1"
"435",0.857142857142857,0,"x2","|x1"
"445",0.877551020408163,0,"x2","|x1"
"455",0.897959183673469,0,"x2","|x1"
"465",0.918367346938775,0,"x2","|x1"
"475",0.938775510204082,0,"x2","|x1"
"485",0.959183673469388,0,"x2","|x1"
"495",0.979591836734694,0,"x2","|x1"
"505",1,0,"x2","|x1"
"511",1,0,"x2","|x3"
