"","x1","x2","x3","f1","f2","order"
"128",0.379508470641474,0,0,0.379508470641474,0.383957411665822,3
"129",0.0539818175214901,0,0,0.0539818175214901,0.767660124986067,4
"130",0.86293186125154,0,0,0.86293186125154,0.0710587417648304,5
"131",0.187609667567416,0,0,0.187609667567416,0.566860683419969,6
"132",0.313787444546263,0,0,0.313787444546263,0.439832663799233,7
"133",0.686408728266132,0,0,0.686408728266132,0.171502125370178,8
"134",0.439381579512301,0,0,0.439381579512301,0.337141357820311,9
"135",0,1.00000045620631e-05,0,0,1.00004500002053,10
"136",0,0,1.00000012062061e-05,0,1.00004500000543,11
"137",0.2500100945634,0,0,0.2500100945634,0.499989905538498,12
"138",0.610593016181184,0,0,0.610593016181184,0.218595484923984,13
"139",0.379518495325898,0,0,0.379518495325898,0.383949275362898,14
"140",7.55336452324969e-06,4.94631016832354e-06,4.30684074681186e-06,7.55336452324969e-06,0.99729324345813,15
"141",0.0229486665084585,0,0,0.0229486665084585,0.848511827166414,16
"142",0.927838722657391,0,0,0.927838722657391,0.0367561457982767,17
"143",0.806003212355455,0,0,0.806003212355455,0.102223183438414,18
"144",0.964201502833718,0,0,0.964201502833718,0.0180623732467944,19
"145",0.0815000725812794,0,0,0.0815000725812794,0.714517824407058,20
