"","x1","x2","x3","f1","f2","order","f1.norm","f2.norm","theta","dist"
"29",0.75,0,0.25,0.75,0.86256188270474,0,0.75,0.86256188270474,54.4366094813414,0.60465006820672
"30",1,0,0.25,1,0.667262026288675,0,1,0.667262026288675,37.4596408399291,0.636141869436331
"31",0,0.25,0.25,0,3.25,0,0,3.25,100,2.25
"32",0.25,0.25,0.25,0.25,2.348612181134,0,0.25,2.348612181134,93.2488690559308,1.63455834990805
"33",0.5,0.25,0.25,0.5,1.9752451216018,0,0.5,1.9752451216018,84.2165839228072,1.40842403065383
"34",0.75,0.25,0.25,0.75,1.6887505004004,0,0.75,1.6887505004004,73.3925100030768,1.27851240258158
"35",1,0.25,0.25,1,1.44722436226801,0,1,1.44722436226801,61.5070948130228,1.21763594871786
"36",0,0.5,0.25,0,4.375,0,0,4.375,100,3.375
"37",0.25,0.5,0.25,0.25,3.32917496683241,0,0.25,3.32917496683241,95.2283436183856,2.57492501266349
"38",0.5,0.5,0.25,0.5,2.8959800542251,0,0.5,2.8959800542251,89.1158630876565,2.26702222297215
"39",0.75,0.5,0.25,0.75,2.56357790672632,0,0.75,2.56357790672632,81.880713884077,2.05911354316296
"40",1,0.5,0.25,1,2.28334993366481,0,1,2.28334993366481,73.7209330491906,1.92217652673963
"41",0,0.75,0.25,0,5.5,0,0,5.5,100,4.5
"42",0.25,0.75,0.25,0.25,4.32739606004414,0,0.25,4.32739606004414,96.3262379380779,3.54382118546927
"43",0.5,0.75,0.25,0.5,3.8416876048223,0,0.5,3.8416876048223,91.7606362007969,3.16890304144233
"44",0.75,0.75,0.25,0.75,3.46899039884101,0,0.75,3.46899039884101,86.4448349255194,2.90185008317544
"45",1,0.75,0.25,1,3.15479212008829,0,1,3.15479212008829,80.4583614671395,2.70719699737151
"46",0,1,0.25,0,6.625,0,0,6.625,100,5.625
"47",0.25,1,0.25,0.25,5.33804623237662,0,0.25,5.33804623237662,97.0206565052513,4.53348509325314
"48",0.5,1,0.25,0.5,4.80497252767987,0,0.5,4.80497252767987,93.3991634968803,4.10098482438243
"49",0.75,1,0.25,0.75,4.39593068748412,0,0.75,4.39593068748412,89.2420659653958,3.78615232605395
"50",1,1,0.25,1,4.05109246475325,0,1,4.05109246475325,84.5932327388115,3.54062414815408
"51",0,0,0.5,0,3.25,0,0,3.25,100,2.25
"52",0.25,0,0.5,0.25,2.348612181134,0,0.25,2.348612181134,93.2488690559308,1.63455834990805
"53",0.5,0,0.5,0.5,1.9752451216018,0,0.5,1.9752451216018,84.2165839228072,1.40842403065383
"54",0.75,0,0.5,0.75,1.6887505004004,0,0.75,1.6887505004004,73.3925100030768,1.27851240258158
"55",1,0,0.5,1,1.44722436226801,0,1,1.44722436226801,61.5070948130228,1.21763594871786
"56",0,0.25,0.5,0,4.375,0,0,4.375,100,3.375
"57",0.25,0.25,0.5,0.25,3.32917496683241,0,0.25,3.32917496683241,95.2283436183856,2.57492501266349
"58",0.5,0.25,0.5,0.5,2.8959800542251,0,0.5,2.8959800542251,89.1158630876565,2.26702222297215
"59",0.75,0.25,0.5,0.75,2.56357790672632,0,0.75,2.56357790672632,81.880713884077,2.05911354316296
"60",1,0.25,0.5,1,2.28334993366481,0,1,2.28334993366481,73.7209330491906,1.92217652673963
"61",0,0.5,0.5,0,5.5,0,0,5.5,100,4.5
"62",0.25,0.5,0.5,0.25,4.32739606004414,0,0.25,4.32739606004414,96.3262379380779,3.54382118546927
"63",0.5,0.5,0.5,0.5,3.8416876048223,0,0.5,3.8416876048223,91.7606362007969,3.16890304144233
"64",0.75,0.5,0.5,0.75,3.46899039884101,0,0.75,3.46899039884101,86.4448349255194,2.90185008317544
"65",1,0.5,0.5,1,3.15479212008829,0,1,3.15479212008829,80.4583614671395,2.70719699737151
"66",0,0.75,0.5,0,6.625,0,0,6.625,100,5.625
"67",0.25,0.75,0.5,0.25,5.33804623237662,0,0.25,5.33804623237662,97.0206565052513,4.53348509325314
"68",0.5,0.75,0.5,0.5,4.80497252767987,0,0.5,4.80497252767987,93.3991634968803,4.10098482438243
"69",0.75,0.75,0.5,0.75,4.39593068748412,0,0.75,4.39593068748412,89.2420659653958,3.78615232605395
"70",1,0.75,0.5,1,4.05109246475325,0,1,4.05109246475325,84.5932327388115,3.54062414815408
"71",0,1,0.5,0,7.75,0,0,7.75,100,6.75
"72",0.25,1,0.5,0.25,6.35805890929249,0,0.25,6.35805890929249,97.498088654579,5.53843659694284
"73",0.5,1,0.5,0.5,5.78149803149705,0,0.5,5.78149803149705,94.5080003227069,5.0531615000404
"74",0.75,1,0.5,0.75,5.33908730975176,0,0.75,5.33908730975176,91.1153180695834,4.6948809681579
"75",1,1,0.5,1,4.96611781858499,0,1,4.96611781858499,87.3499025072958,4.41059383209957
"76",0,0,0.75,0,4.375,0,0,4.375,100,3.375
"77",0.25,0,0.75,0.25,3.32917496683241,0,0.25,3.32917496683241,95.2283436183856,2.57492501266349
"78",0.5,0,0.75,0.5,2.8959800542251,0,0.5,2.8959800542251,89.1158630876565,2.26702222297215
"79",0.75,0,0.75,0.75,2.56357790672632,0,0.75,2.56357790672632,81.880713884077,2.05911354316296
"80",1,0,0.75,1,2.28334993366481,0,1,2.28334993366481,73.7209330491906,1.92217652673963
"81",0,0.25,0.75,0,5.5,0,0,5.5,100,4.5
"82",0.25,0.25,0.75,0.25,4.32739606004414,0,0.25,4.32739606004414,96.3262379380779,3.54382118546927
"83",0.5,0.25,0.75,0.5,3.8416876048223,0,0.5,3.8416876048223,91.7606362007969,3.16890304144233
"84",0.75,0.25,0.75,0.75,3.46899039884101,0,0.75,3.46899039884101,86.4448349255194,2.90185008317544
"85",1,0.25,0.75,1,3.15479212008829,0,1,3.15479212008829,80.4583614671395,2.70719699737151
"86",0,0.5,0.75,0,6.625,0,0,6.625,100,5.625
"87",0.25,0.5,0.75,0.25,5.33804623237662,0,0.25,5.33804623237662,97.0206565052513,4.53348509325314
"88",0.5,0.5,0.75,0.5,4.80497252767987,0,0.5,4.80497252767987,93.3991634968803,4.10098482438243
"89",0.75,0.5,0.75,0.75,4.39593068748412,0,0.75,4.39593068748412,89.2420659653958,3.78615232605395
"90",1,0.5,0.75,1,4.05109246475325,0,1,4.05109246475325,84.5932327388115,3.54062414815408
"91",0,0.75,0.75,0,7.75,0,0,7.75,100,6.75
"92",0.25,0.75,0.75,0.25,6.35805890929249,0,0.25,6.35805890929249,97.498088654579,5.53843659694284
"93",0.5,0.75,0.75,0.5,5.78149803149705,0,0.5,5.78149803149705,94.5080003227069,5.0531615000404
"94",0.75,0.75,0.75,0.75,5.33908730975176,0,0.75,5.33908730975176,91.1153180695834,4.6948809681579
"95",1,0.75,0.75,1,4.96611781858499,0,1,4.96611781858499,87.3499025072958,4.41059383209957
"96",0,1,0.75,0,8.875,0,0,8.875,100,7.875
"97",0.25,1,0.75,0.25,7.38545308902338,0,0.25,7.38545308902338,97.8458437960705,6.5545166685424
"98",0.5,1,0.75,0.5,6.76846255670591,0,0.5,6.76846255670591,95.3056878379324,6.02177456698476
"99",0.75,1,0.75,0.75,6.29502906993121,0,0.75,6.29502906993121,92.4507939365519,5.62489197150475
"100",1,1,0.75,1,5.89590617804675,0,1,5.89590617804675,89.3041307660525,5.30607186174504
"101",0,0,1,0,5.5,0,0,5.5,100,4.5
"102",0.25,0,1,0.25,4.32739606004414,0,0.25,4.32739606004414,96.3262379380779,3.54382118546927
"103",0.5,0,1,0.5,3.8416876048223,0,0.5,3.8416876048223,91.7606362007969,3.16890304144233
"104",0.75,0,1,0.75,3.46899039884101,0,0.75,3.46899039884101,86.4448349255194,2.90185008317544
"105",1,0,1,1,3.15479212008829,0,1,3.15479212008829,80.4583614671395,2.70719699737151
"106",0,0.25,1,0,6.625,0,0,6.625,100,5.625
"107",0.25,0.25,1,0.25,5.33804623237662,0,0.25,5.33804623237662,97.0206565052513,4.53348509325314
"108",0.5,0.25,1,0.5,4.80497252767987,0,0.5,4.80497252767987,93.3991634968803,4.10098482438243
"109",0.75,0.25,1,0.75,4.39593068748412,0,0.75,4.39593068748412,89.2420659653958,3.78615232605395
"110",1,0.25,1,1,4.05109246475325,0,1,4.05109246475325,84.5932327388115,3.54062414815408
"111",0,0.5,1,0,7.75,0,0,7.75,100,6.75
"112",0.25,0.5,1,0.25,6.35805890929249,0,0.25,6.35805890929249,97.498088654579,5.53843659694284
"113",0.5,0.5,1,0.5,5.78149803149705,0,0.5,5.78149803149705,94.5080003227069,5.0531615000404
"114",0.75,0.5,1,0.75,5.33908730975176,0,0.75,5.33908730975176,91.1153180695834,4.6948809681579
"115",1,0.5,1,1,4.96611781858499,0,1,4.96611781858499,87.3499025072958,4.41059383209957
"116",0,0.75,1,0,8.875,0,0,8.875,100,7.875
"117",0.25,0.75,1,0.25,7.38545308902338,0,0.25,7.38545308902338,97.8458437960705,6.5545166685424
"118",0.5,0.75,1,0.5,6.76846255670591,0,0.5,6.76846255670591,95.3056878379324,6.02177456698476
"119",0.75,0.75,1,0.75,6.29502906993121,0,0.75,6.29502906993121,92.4507939365519,5.62489197150475
"120",1,0.75,1,1,5.89590617804675,0,1,5.89590617804675,89.3041307660525,5.30607186174504
"121",0,1,1,0,10,0,0,10,100,9
"122",0.25,1,1,0.25,8.41886116991581,0,0.25,8.41886116991581,98.1100984643201,7.57912521369149
"123",0.5,1,1,0.5,7.76393202250021,0,0.5,7.76393202250021,95.9057997465122,7.00060587065764
"124",0.75,1,1,0.75,7.26138721247417,0,0.75,7.26138721247417,93.4478394455537,6.56923406058354
"125",1,1,1,1,6.83772233983162,0,1,6.83772233983162,90.7551321226981,6.21848960564467
"126",0.115018435490464,0,0,0.115018435490464,0.660856320285245,1,0.115018435490464,0.660856320285245,89.0298667869699,0
"127",0.610583015958073,0,0,0.610583015958073,0.218601883827409,2,0.610583015958073,0.218601883827409,21.8871803786873,0
"128",0.379508470641474,0,0,0.379508470641474,0.383957411665822,3,0.379508470641474,0.383957411665822,50.3709729314062,0
"129",0.0539818175214901,0,0,0.0539818175214901,0.767660124986067,4,0.0539818175214901,0.767660124986067,95.5306504143526,0
"130",0.86293186125154,0,0,0.86293186125154,0.0710587417648304,5,0.86293186125154,0.0710587417648304,5.23049005207518,0
"131",0.187609667567416,0,0,0.187609667567416,0.566860683419969,6,0.187609667567416,0.566860683419969,79.6526548412988,0
"132",0.313787444546263,0,0,0.313787444546263,0.439832663799233,7,0.313787444546263,0.439832663799233,60.5500057946335,0
"133",0.686408728266132,0,0,0.686408728266132,0.171502125370178,8,0.686408728266132,0.171502125370178,15.5870917486296,0
"134",0.439381579512301,0,0,0.439381579512301,0.337141357820311,9,0.439381579512301,0.337141357820311,41.6659383614477,0
"135",0,1.00000045620631e-05,0,0,1.00004500002053,10,0,1.00004500002053,100,4.50000205300949e-05
"136",0,0,1.00000012062061e-05,0,1.00004500000543,11,0,1.00004500000543,100,4.50000054299515e-05
"137",0.2500100945634,0,0,0.2500100945634,0.499989905538498,12,0.2500100945634,0.499989905538498,70.4817341269712,0
"138",0.610593016181184,0,0,0.610593016181184,0.218595484923984,13,0.610593016181184,0.218595484923984,21.8862581300082,0
"139",0.379518495325898,0,0,0.379518495325898,0.383949275362898,14,0.379518495325898,0.383949275362898,50.3694577059686,0
"140",7.55336452324969e-06,4.94631016832354e-06,4.30684074681186e-06,7.55336452324969e-06,0.99729324345813,15,7.55336452324969e-06,0.99729324345813,99.9995178327704,0
"141",0.0229486665084585,0,0,0.0229486665084585,0.848511827166414,16,0.0229486665084585,0.848511827166414,98.278631626902,0
"142",0.927838722657391,0,0,0.927838722657391,0.0367561457982767,17,0.927838722657391,0.0367561457982767,2.52063849920902,0
"143",0.806003212355455,0,0,0.806003212355455,0.102223183438414,18,0.806003212355455,0.102223183438414,8.0311966413274,0
"144",0.964201502833718,0,0,0.964201502833718,0.0180623732467944,19,0.964201502833718,0.0180623732467944,1.19243945538748,0
"145",0.0815000725812794,0,0,0.0815000725812794,0.714517824407058,20,0.0815000725812794,0.714517824407058,92.7697695299396,0
